Word	Cyrillic	Village	Type	General type	Lat	Lon	Language	Dialect / Alternative name	Glottocode	Resource type	Reference	Comment
isiot	исиот	Kutikh	1. istiot	istiot	42.12587	46.78902	Avar	Karakh		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Random village assigned
isiut	исиут	Kubachi	1. istiot	istiot	42.0856	47.6031	Kubachi			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
isiut	исиут	Mekegi	1. istiot	istiot	42.2989	47.4225	Dargwa	Mekegi		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
isiut	исиут	Cudaxar	1. istiot	istiot	42.3425	47.1606	Cudaxar			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
isiut	исиут	Gubden	1. istiot	istiot	42.5658	47.5658	Dargwa	Gubden		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
issijawt	иссийавт	Glottolog_point	1. istiot	istiot	42.13275	47.0809	Lak			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Glottolog coordinates
istːiwut	исттивут	Glottolog_point	1. istiot	istiot	41.92418	47.58429	Aghul			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Glottolog coordinates
ištawuta	иштавута	Glottolog_point	1. istiot	istiot	42.33164	45.92268	Tindi			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Glottolog coordinates
istibat	истибат	Khvarshi	1. istiot	istiot	42.353471	46.107859	Xvarshi			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
istioƛ	истиолI	Khasharkhota	1. istiot	istiot	42.3	46.142158	Bezhta			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
istiot	истиот	Glottolog_point	1. istiot	istiot	41.18107	48.18457	Kryz			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Glottolog coordinates
istiot	истиот	Glottolog_point	1. istiot	istiot	41.22722	48.33533	Budukh			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Glottolog coordinates
istiot	истиот	Zaqatala	1. istiot	istiot	41.615991	46.60675	Avar	Zaqatala		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Random village assigned
istiot	истиот	Kardib	1. istiot	istiot	42.111443	46.8	Avar	Antsukh		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Random village assigned
istiut	истиут	Khnov	1. istiot	istiot	41.378607	47.443605	Rutul	Borchino-Khnov		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Khnov coordinates
istiut	истиут	Shinaz	1. istiot	istiot	41.618658	47.375666	Rutul	Shinaz		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
istiut	истиут	Mukhrek	1. istiot	istiot	41.667696	47.280013	Rutul	Mukhrek		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
istiwut	истивут	Mikrakh	1. istiot	istiot	41.37481	47.882489	Lezgian	Mikrakh		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
istiwut	истивут	Glottolog_point	1. istiot	istiot	41.51572	47.89507	Lezgian			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Glottolog coordinates
istowt	истовт	Glottolog_point	1. istiot	istiot	42.45022	45.80638	Hinuq			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Glottolog coordinates
k’albuħ	кІалбухІ	Khunzakh	6. other	other	42.5394	46.5	Avar	Khunzakh		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
k’aluħ	кІалухІ	Araderix	6. other	other	42.681685	46.5471242	Avar	Araderikh		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Coordinates of Srednij Aradirix
p’ilp’il	пІилпІил	Tlyadal	3. pilpil	other	42.125339	46.237247	Bezhta			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Random village assigned
p’ilp’il	пІилпІил	Khasharkhota	3. pilpil	other	42.12912	46.142158	Bezhta			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
